CLUSTER medium_syncopated_free | count=101
  Adrift Break.wav  S...H...|..HH...S|SSHH....|..H..H..
  Angles Break.wav  H...HH.H|....HH.H|.H.H...H|...H.H..
  Atlantis Amen.wav  S...S...|.S...H.S|..HS..S.|.S.S....
  Back Break 2 - 7B.wav  S.H.S.H.|H.SS.HHS|S.HS.H.H|.S.H.S..
  Back Break 3 - 7B.wav  S.H.S.S.|H.SS.HHS|S.HS.S.H|.S.H.S..
  Back Break.wav  HSH.H.H.|H.H.H.H.|SH.H.H.H|.H.H.H..
  Beta Break.wav  H.H.H.H.|H.H.HHHH|...H.H.H|gH.H.H..
  Box Break - 6A.wav  H.S.S.S.|SS.S..SH|.H.S.SSS|SS.S.S..
  Box Break 2 - 6B.wav  S.H.S.SS|HH..SS..|SH.S.HSH|HH.S....
  Box Break 3 - 2B.wav  S..HH..S|...H..HS|.H.S...H|.H.S....
  Breeze Break - 2A.wav  S...H.SS|.S..H.SS|...H.SS.|S..H....
  Bulldozer Amen 2 - 2A.wav  S.H.S.HS|S.SH.SSS|.H.S.H.S|.H.S.H..

CLUSTER dense_syncopated_free | count=65
  Alzir Break - 4A.wav  S.HSS.HH|S.S.HH.S|.S.S.S.H|HH.H.S..
  Beep Break.wav  S.SSSSSS|SSpSSS.S|SSSSSS.S|SS.SSSS.
  Blaze Break 2.wav  SHHSHHHH|SHHSHHHS|HHSHHHHS|HHSHHHH.
  Bonanza Break.wav  SHSSSHHH|SHSH.HHH|.SHHH.HS|HHHHHH.H
  Boo Break - 5A.wav  S.S.S..H|HHHH..HH|..HH..HH|HH.H.HH.
  Boo Worm Break - 9A.wav  S.SSSSHS|SSSHSS..|SS.SS.SS|SS.SH...
  Bouncer Break - 6A.wav  SSSSS.SS|SS.S..HS|.SSS.SSS|SH.S.SS.
  Box Break 4 - 5A.wav  S.HS..SS|..S.SS.S|.S.S.SSS|SS.SS.H.
  Box Break 5.wav  H.H.H.H.|HHH.HHHH|.H.H.HHH|HS.S.HS.
  Bringing Me Break - 7A.wav  S.H.H.H.|HHH.HHHH|.H.H.H.H|HH.H.HH.
  Camo Break - 3A.wav  p...H.SS|HHH.HHH.|...H.SSH|HH.H.HH.
  Careless Break - 4A.wav  H.H.H.HH|HH..H.HH|.H.H.HH.|HH.HH.H.

CLUSTER medium_syncopated_base | count=38
  best_grooves_v01_0001  K.S.gKS.|K.S..KS.|K.S.gKS.|K.S..KS.
  best_grooves_v01_0003  K.S..KS.|K.S..KS.|K.S..KS.|K.S..KS.
  best_grooves_v01_0004  K.S..KS.|K.S..KS.|K.S..KS.|K.S..KS.
  best_grooves_v01_0005  K.S..KS.|K.S..KS.|K.S..KS.|K.S..KS.
  best_grooves_v01_0006  K.S..KS.|K.S..KS.|K.S..KS.|K.S..KS.
  best_grooves_v01_0007  K.S..KS.|K.S..KS.|K.S..KS.|K.S..KS.
  best_grooves_v01_0008  K.S..KS.|K.S..KS.|K.S..KS.|K.S..KS.
  best_grooves_v01_0009  K.S..KS.|K.S..KS.|K.S..KS.|K.S..KS.
  best_grooves_v01_0010  K.S..KS.|K.S..KS.|K.S..KS.|K.S..KS.
  best_grooves_v01_0011  K.S..KS.|K.S..KS.|K.S..KS.|K.S..KS.
  best_grooves_v01_0012  K.S..KS.|K.S..KS.|K.S..KS.|K.S..KS.
  best_grooves_v01_0013  K.S..KS.|K.S..KS.|K.S..KS.|K.S..KS.

CLUSTER sparse_syncopated_free | count=21
  Bronx Break.wav  H...H...|H..H..HH|.S.H...H|........
  Brut Force Fuller Break - 6A.wav  H...H..H|.....H.H|...H...H|...H.H..
  Change Break - 6A.wav  H...H..H|....H..H|...H...S|...S....
  Cosmik Break - 11A.wav  H...H..H|.......H|...H...H|...H....
  Dayz Break - 9A.wav  H..H...H|...H....|H..H...H|H..H....
  Effect Break 2 - 12A.wav  S..S...S|....S.SS|.S.S...H|........
  Effect Break 3 - 7A.wav  S...S..H|...H.H..|HH.H...H|........
  Gene Break 2.wav  S...S..S|..S....S|...S...S|...S....
  God Chord Break - 4A.wav  H...S...|S..S...H|.H.H...S|...H....
  Rock Amen - 12A.wav  .S..S...|S..S...S|...S...S|...S....
  Roll On Roll - 9A.wav  S.S.S..S|...S...S|....H..H|........
  Rumble Break - 10A.wav  H..H...H|...H....|H..H....|...H....

