IDX | ROLE  | GRID16 | PAIR | START_MS | END_MS | FILE
-------------------------------------------------------
000 | kick  | 000000 | 0000 |      0.0 |    47.4 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_000_kick_g00_p0.wav
001 | hat   | 000000 | 0000 |     47.4 |    92.3 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_001_hat_g00_p0.wav
002 | snare | 000001 | 0000 |     92.3 |   137.2 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_002_snare_g01_p0.wav
003 | hat   | 000001 | 0000 |    137.2 |   172.2 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_003_hat_g01_p0.wav
004 | hat   | 000001 | 0000 |    159.6 |   194.6 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_004_hat_g01_p0.wav
005 | hat   | 000001 | 0000 |    184.6 |   229.5 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_005_hat_g01_p0.wav
006 | kick  | 000001 | 0000 |    229.5 |   279.4 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_006_kick_g01_p0.wav
007 | snare | 000002 | 0001 |    279.4 |   324.3 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_007_snare_g02_p1.wav
008 | hat   | 000002 | 0001 |    321.8 |   371.7 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_008_hat_g02_p1.wav
009 | kick  | 000002 | 0001 |    371.7 |   406.7 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_009_kick_g02_p1.wav
010 | snare | 000002 | 0001 |    459.0 |   508.9 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_010_snare_g02_p1.wav
011 | kick  | 000003 | 0001 |    508.9 |   553.8 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_011_kick_g03_p1.wav
012 | hat   | 000003 | 0001 |    553.8 |   601.2 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_012_hat_g03_p1.wav
013 | kick  | 000003 | 0001 |    601.2 |   646.1 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_013_kick_g03_p1.wav
014 | snare | 000003 | 0001 |    646.1 |   693.5 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_014_snare_g03_p1.wav
015 | hat   | 000004 | 0002 |    693.5 |   728.5 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_015_hat_g04_p2.wav
016 | snare | 000004 | 0002 |    715.9 |   750.9 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_016_snare_g04_p2.wav
017 | kick  | 000004 | 0002 |    738.4 |   785.8 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_017_kick_g04_p2.wav
018 | hat   | 000004 | 0002 |    785.8 |   830.7 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_018_hat_g04_p2.wav
019 | snare | 000004 | 0002 |    830.7 |   875.6 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_019_snare_g04_p2.wav
020 | hat   | 000005 | 0002 |    875.6 |   923.0 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_020_hat_g05_p2.wav
021 | hat   | 000005 | 0002 |    922.9 |   967.9 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_021_hat_g05_p2.wav
022 | kick  | 000005 | 0002 |    967.8 |  1015.3 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_022_kick_g05_p2.wav
023 | snare | 000005 | 0002 |   1015.3 |  1060.2 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_023_snare_g05_p2.wav
024 | hat   | 000006 | 0003 |   1060.2 |  1107.6 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_024_hat_g06_p3.wav
025 | kick  | 000006 | 0003 |   1107.6 |  1152.5 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_025_kick_g06_p3.wav
026 | hat   | 000006 | 0003 |   1152.4 |  1197.4 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_026_hat_g06_p3.wav
027 | snare | 000006 | 0003 |   1197.3 |  1244.8 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_027_snare_g06_p3.wav
028 | kick  | 000006 | 0003 |   1244.7 |  1289.7 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_028_kick_g06_p3.wav
029 | hat   | 000007 | 0003 |   1289.6 |  1337.1 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_029_hat_g07_p3.wav
030 | hat   | 000007 | 0003 |   1337.1 |  1382.0 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_030_hat_g07_p3.wav
031 | snare | 000007 | 0003 |   1382.0 |  1431.9 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_031_snare_g07_p3.wav
032 | hat   | 000007 | 0003 |   1429.3 |  1474.3 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_032_hat_g07_p3.wav
033 | kick  | 000008 | 0004 |   1474.2 |  1519.2 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_033_kick_g08_p4.wav
034 | hat   | 000008 | 0004 |   1519.1 |  1569.0 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_034_hat_g08_p4.wav
035 | snare | 000008 | 0004 |   1569.0 |  1613.9 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_035_snare_g08_p4.wav
036 | hat   | 000008 | 0004 |   1611.4 |  1661.4 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_036_hat_g08_p4.wav
037 | hat   | 000009 | 0004 |   1661.3 |  1706.3 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_037_hat_g09_p4.wav
038 | kick  | 000009 | 0004 |   1706.2 |  1753.7 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_038_kick_g09_p4.wav
039 | snare | 000009 | 0004 |   1753.6 |  1798.5 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_039_snare_g09_p4.wav
040 | hat   | 000009 | 0004 |   1798.5 |  1843.4 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_040_hat_g09_p4.wav
041 | kick  | 000009 | 0004 |   1843.4 |  1878.4 | exports/tracker_from_image_v05/Camo_Break_-_3A/start_0ms/preview_same_cuts/slice_041_kick_g09_p4.wav
