break,pair,guessed,kick,snare,hat,ghost_snare,rms,peak,sub_r,low_r,mid_r,high_r,air_r,zcr,tail_ratio
Adrift_Break,0,kick,3.856083,-0.902748,-1.187485,-1.221702,0.493084,0.969757,0.635572,0.356158,0.001116,0.001885,0.000996,0.018795,0.0
Adrift_Break,1,kick,3.351684,-0.426644,-0.93825,-0.839483,0.127597,0.48175,0.409675,0.502425,0.022131,0.035661,0.009699,0.072077,0.433943
Adrift_Break,2,snare,0.800479,1.29551,1.059195,0.745285,0.076368,0.414993,0.188991,0.126707,0.096459,0.41421,0.103005,0.194808,1.206594
Adrift_Break,3,hat,0.036456,1.601077,2.012302,0.889185,0.163096,0.848282,0.011835,0.097062,0.091468,0.53113,0.119411,0.209929,0.524098
Adrift_Break,4,snare,0.623509,1.36792,1.126788,0.746248,0.082035,0.326309,0.080691,0.151308,0.108673,0.364541,0.101666,0.175655,0.905902
Adrift_Break,5,snare,0.284474,1.651515,1.565756,0.986762,0.087617,0.367859,0.068003,0.134356,0.114306,0.497532,0.119872,0.223538,1.235361
Adrift_Break,6,kick,1.954005,0.413824,0.031957,-0.178744,0.300095,0.902786,0.001057,0.521586,0.060558,0.078142,0.018519,0.134154,0.0
Adrift_Break,7,hat,-0.011344,1.469921,2.29357,0.801768,0.17725,0.902786,0.005738,0.108119,0.096043,0.551434,0.124856,0.225302,0.0
Adrift_Break,8,hat,0.296971,1.423715,1.946396,0.752308,0.112081,0.59935,0.010177,0.215166,0.064778,0.487711,0.166016,0.255292,0.665636
Adrift_Break,9,hat,0.119102,1.663708,1.750844,1.014635,0.084165,0.396362,0.061061,0.090268,0.120523,0.503633,0.131615,0.213962,0.985504
Adrift_Break,10,kick,3.373865,-0.528807,-0.904544,-0.926113,0.246805,0.955231,0.241173,0.728676,0.005421,0.012826,0.003397,0.064012,0.196133
Adrift_Break,11,kick,3.219831,-0.404565,-0.826941,-0.828043,0.202927,0.90976,0.186154,0.756373,0.008833,0.030034,0.007924,0.059476,0.316975
Adrift_Break,12,hat,0.166238,1.429133,2.036018,0.745885,0.180935,0.845001,0.035161,0.099902,0.142991,0.483672,0.121223,0.219002,0.0
Adrift_Break,13,kick,1.275171,1.031678,0.631252,0.367189,0.100682,0.445206,0.074762,0.325838,0.101035,0.287573,0.063327,0.171119,0.84845
Adrift_Break,14,hat,0.816284,0.985427,1.551606,0.433797,0.09289,0.352417,0.098265,0.239245,0.096579,0.428909,0.0912,0.222026,0.0
Adrift_Break,15,hat,-0.002683,1.647865,1.973916,1.037019,0.079956,0.643631,0.069237,0.066804,0.125084,0.530526,0.146738,0.220766,0.779222
Adrift_Break,16,hat,-0.691626,1.745449,3.343298,1.093072,0.214092,0.865173,0.003993,0.004618,0.044736,0.708953,0.224115,0.343408,0.0
Adrift_Break,17,hat,-0.366781,1.92099,2.424372,1.184214,0.190903,0.8349,0.006906,0.013619,0.250099,0.659159,0.035609,0.251066,0.0
Adrift_Break,18,snare,-0.089815,2.102085,1.701373,1.272502,0.126117,0.648376,0.03013,0.03018,0.324286,0.546792,0.036473,0.218246,0.873386
Adrift_Break,19,hat,0.058941,1.602048,1.986923,0.889496,0.17075,0.86644,0.014882,0.103293,0.090454,0.528315,0.123142,0.212198,0.588905
Alzir_Break_-_4A,0,kick,3.754712,-0.805522,-1.160036,-1.146463,0.164805,0.625397,0.574958,0.402869,0.002345,0.007178,0.000586,0.020665,0.108779
Alzir_Break_-_4A,1,hat,-0.442054,2.153555,2.30069,1.407049,0.12121,0.478592,0.038985,0.030098,0.031952,0.83424,0.063962,0.199597,1.761314
Alzir_Break_-_4A,2,snare,0.254775,1.681359,1.274473,0.869068,0.186087,0.999939,0.002673,0.023815,0.260417,0.335459,0.029581,0.16255,0.137692
Alzir_Break_-_4A,3,hat,0.303586,1.347061,1.851907,0.780974,0.086468,0.93541,0.072886,0.141711,0.104516,0.569101,0.054341,0.188256,0.218488
Alzir_Break_-_4A,4,hat,-0.862182,2.121466,2.623123,1.655242,0.045798,0.342239,0.001427,0.001325,0.132743,0.735184,0.126448,0.234879,0.979821
Alzir_Break_-_4A,5,kick,2.362064,0.169752,-0.017032,-0.324867,0.163754,0.999939,0.302966,0.369503,0.102983,0.198837,0.010478,0.112903,0.144445
Alzir_Break_-_4A,6,snare,0.305403,1.562558,1.286203,0.77903,0.163504,0.999939,0.002818,0.023875,0.167993,0.32774,0.040332,0.169607,0.15047
Alzir_Break_-_4A,7,kick,2.796797,-0.151624,-0.245827,-0.582285,0.1546,0.996597,0.354176,0.442134,0.019055,0.120158,0.052681,0.15751,0.27975
Alzir_Break_-_4A,8,kick,3.590428,-0.682942,-1.01046,-1.042281,0.191514,0.999878,0.472143,0.492878,0.008305,0.014446,0.003708,0.059476,0.113803
Alzir_Break_-_4A,9,kick,2.607976,0.019821,-0.288429,-0.465717,0.181677,0.999878,0.358559,0.357512,0.118551,0.150452,0.008679,0.067036,0.132706
Alzir_Break_-_4A,10,snare,0.289673,1.576477,1.29701,0.79086,0.163031,0.999939,0.0017,0.024395,0.17134,0.334597,0.040428,0.165575,0.170487
Alzir_Break_-_4A,11,hat,0.259639,1.364232,1.901625,0.78725,0.087896,0.961548,0.06891,0.1329,0.100587,0.576465,0.059942,0.182964,0.216707
Alzir_Break_-_4A,12,hat,-0.943632,1.864629,3.070307,1.48049,0.04165,0.287979,0.002726,0.011174,0.022025,0.703967,0.253977,0.258821,0.744411
Alzir_Break_-_4A,13,kick,2.735318,-0.107235,-0.207415,-0.546786,0.160937,0.925095,0.333731,0.450011,0.024455,0.126645,0.051771,0.157258,0.283486
Alzir_Break_-_4A,14,snare,0.241278,1.73083,1.323559,0.915979,0.184096,0.999939,0.002118,0.02053,0.27012,0.318482,0.036037,0.225554,0.135426
Alzir_Break_-_4A,15,hat,-0.354157,2.0012,2.20785,1.216356,0.103158,0.983002,0.000439,0.004585,0.304171,0.620017,0.036859,0.1938,0.165614
Angles_Break,0,kick,2.309069,0.035679,0.338837,-0.416014,0.230019,0.987396,0.3456,0.304556,0.007601,0.155151,0.105957,0.211694,0.0
Angles_Break,1,hat,1.043628,0.510865,1.939386,-0.018611,0.097423,0.46434,0.299329,0.069865,0.001509,0.173166,0.440986,0.293833,0.0
Angles_Break,2,hat,-0.580882,1.412024,3.555267,0.739952,0.117438,0.54718,0.020249,0.006944,0.009926,0.393933,0.552656,0.372232,0.0
Angles_Break,3,hat,-0.686028,1.325758,3.879798,0.627703,0.109241,0.474548,0.00401,0.003159,0.002269,0.221101,0.768292,0.423998,0.0
Angles_Break,4,hat,0.086523,1.532558,1.861512,0.80706,0.259936,0.999847,0.004603,0.001972,0.06789,0.39309,0.09386,0.280242,0.0
Angles_Break,5,hat,-0.732165,1.348953,3.78462,0.718346,0.086867,0.361267,0.000161,0.001997,0.010069,0.241178,0.729893,0.39995,0.0
Angles_Break,6,hat,-0.776951,1.490223,3.74805,0.867558,0.089896,0.507629,0.000446,0.000899,0.007911,0.414256,0.572053,0.397313,0.0
Angles_Break,7,hat,-0.610053,1.51743,3.468263,0.835076,0.124355,0.626923,2.9e-05,0.001532,0.014525,0.420087,0.486673,0.399892,0.0
Angles_Break,8,hat,1.007567,0.736369,1.642366,0.171403,0.153751,0.841385,0.004457,0.404219,0.006342,0.265572,0.232959,0.304701,0.0
Angles_Break,9,hat,-0.697637,1.51259,3.668451,0.821881,0.112507,0.61499,0.000223,0.001955,0.03511,0.390017,0.567773,0.40373,0.0
Angles_Break,10,hat,-0.6419,1.469329,3.616228,0.7821,0.10376,0.577499,0.001083,0.010886,0.025974,0.369728,0.573362,0.402797,0.0
Angles_Break,11,hat,-0.736118,1.353227,3.899674,0.687543,0.094251,0.4841,0.000518,0.002585,0.002572,0.237183,0.755957,0.431956,0.0
Angles_Break,12,hat,-0.292351,1.6683,2.492762,0.95929,0.204248,0.999939,0.000535,0.001226,0.094131,0.542196,0.145234,0.273185,0.0
Angles_Break,13,hat,-0.734986,1.352275,3.786081,0.723281,0.086674,0.376221,0.000138,0.001899,0.00987,0.244413,0.727178,0.400958,0.0
Angles_Break,14,hat,-0.781043,1.488538,3.74763,0.869518,0.089163,0.536194,0.000256,0.000759,0.007864,0.413665,0.573109,0.394917,0.0
Angles_Break,15,hat,-0.626022,1.513971,3.508359,0.832379,0.116638,0.581879,0.000103,0.00162,0.013348,0.418312,0.49897,0.401966,0.0
Apollo_-_4A,0,kick,3.060994,-0.424101,-0.513436,-0.828714,0.235952,0.702835,0.322377,0.531281,0.003206,0.058,0.037645,0.076248,0.0
Apollo_-_4A,1,kick,3.938784,-0.940683,-1.143845,-1.233047,0.156067,0.380081,0.868065,0.085194,0.001526,0.017432,0.015326,0.065457,0.0
Apollo_-_4A,2,kick,2.939549,-0.450144,-0.061631,-0.825719,0.132879,0.634201,0.717436,0.0224,0.001431,0.082486,0.166605,0.132075,0.0
Apollo_-_4A,3,kick,2.732853,-0.212568,-0.298257,-0.658395,0.236398,0.940094,0.166798,0.630592,0.007906,0.089978,0.030033,0.078154,0.0
Apollo_-_4A,4,kick,3.925339,-0.907964,-1.102791,-1.198318,0.126632,0.337158,0.863011,0.089843,0.001509,0.016722,0.012989,0.107211,0.0
Apollo_-_4A,5,hat,0.122805,0.956283,2.752602,0.425972,0.083354,0.453064,0.121413,0.067961,0.003571,0.25783,0.519829,0.307874,0.0
Apollo_-_4A,6,snare,0.264847,1.687163,1.306317,0.876497,0.265877,0.988556,0.000149,0.004221,0.252356,0.285372,0.035212,0.244977,0.0
Apollo_-_4A,7,hat,-0.143013,1.804669,1.980739,1.011559,0.286722,0.988556,0.000734,0.008306,0.292166,0.460203,0.095991,0.187946,0.0
Apollo_-_4A,8,hat,-0.423155,1.877196,2.536683,1.129997,0.169514,0.759201,0.000222,0.004547,0.237796,0.605285,0.112111,0.241003,0.0
Apollo_-_4A,9,hat,-0.601872,1.488497,3.445618,0.777649,0.117898,0.434326,0.003011,0.003617,0.069956,0.352744,0.554482,0.351264,0.0
Apollo_-_4A,10,hat,-0.561459,1.546239,3.170227,0.912244,0.084188,0.434326,0.000935,0.011866,0.103632,0.363265,0.466998,0.353833,0.0
Arson_Fill_-_4A,0,kick,1.549123,0.699839,0.245733,0.046742,0.270686,0.747208,0.004361,0.391779,0.12219,0.15421,0.002742,0.071557,0.0
Arson_Fill_-_4A,1,hat,-0.201026,1.613658,2.282431,0.940348,0.263583,0.726547,0.00884,0.025781,0.063015,0.68642,0.009273,0.15943,0.0
Arson_Fill_-_4A,2,hat,-0.471995,1.995197,2.4695,1.289088,0.261194,0.813934,0.00334,0.038675,0.058399,0.840507,0.007249,0.194052,0.877667
Arson_Fill_-_4A,3,hat,-0.70885,2.061616,2.833848,1.373823,0.217587,0.754608,0.000268,0.002508,0.038559,0.92696,0.006096,0.212702,0.730353
Arson_Fill_-_4A,4,snare,0.106925,1.952926,1.24635,1.085386,0.174567,0.848755,0.003058,0.003193,0.360386,0.381124,0.008046,0.149194,0.419774
